sentiment,trade_count,total_pnl,avg_pnl,median_pnl,win_rate,pnl_std,max_profit,max_loss,long_ratio,avg_risk_adj_return,sharpe_like
Fear,99477,6299738.553165,63.328594078681505,0.0,48.40415372397639,1050.0223858784523,135329.0901,-35681.74723,58.819626647365716,63.328594078681505,0.06031166090397262
Neutral,5473,113337.53842299999,20.70848500328887,0.0,37.511419696692855,715.6936281696387,18282.19011,-18360.67007,31.68280650465924,20.70848500328887,0.028934846124381592
Greed,30239,3065182.875142,101.36521958867688,0.0,47.842190548629254,1251.6021000758155,44223.45187,-117990.1041,43.28516154634743,101.36521958867688,0.08098837448621786
Extreme Greed,5603,157908.096186,28.182776402998396,0.0,49.955381045868286,340.04821381408664,2500.9575,-21524.4,57.040870961984645,28.182776402998396,0.08287876618110003
